사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-10,1호선,0150,서울역,1414759,1325225,228199,221362
2023-10,1호선,0151,시청,680015,688576,110873,109588
2023-10,1호선,0152,종각,934182,912219,153323,142417
2023-10,1호선,0153,종로3가,505893,450857,318029,290405
2023-10,1호선,0154,종로5가,496473,499265,268981,260177
2023-10,1호선,0155,동대문,240537,233806,133504,134891
2023-10,1호선,0156,신설동,285710,274653,125851,123331
2023-10,1호선,0157,제기동,229494,219321,284154,303921
2023-10,1호선,0158,청량리(서울시립대입구),373168,363785,284133,286861
2023-10,1호선,0159,동묘앞,158633,169937,179081,180728
2023-10,2호선,0201,시청,661611,620522,64629,59210
2023-10,2호선,0202,을지로입구,1250870,1276706,106095,98286
2023-10,2호선,0203,을지로3가,610279,602191,74883,73373
2023-10,2호선,0204,을지로4가,320763,326448,79341,78130
2023-10,2호선,0205,동대문역사문화공원(DDP),379586,440630,62120,67309
2023-10,2호선,0206,신당,336123,356777,96339,98482
2023-10,2호선,0207,상왕십리,344846,332351,70382,70770
2023-10,2호선,0208,왕십리(성동구청),407441,357135,54346,48545
2023-10,2호선,0209,한양대,332911,367396,15428,16391
2023-10,2호선,0210,뚝섬,637115,661574,64344,64026
2023-10,2호선,0211,성수,1054611,1186936,103034,105050
2023-10,2호선,0212,건대입구,1010448,1057217,98538,101885
2023-10,2호선,0213,구의(광진구청),593797,573678,109716,110007
2023-10,2호선,0214,강변(동서울터미널),832602,774221,133637,128349
2023-10,2호선,0215,잠실나루,340881,330305,92301,92484
2023-10,2호선,0216,잠실(송파구청),2106912,2093629,229781,216510
2023-10,2호선,0217,잠실새내,557844,557172,116755,115732
2023-10,2호선,0218,종합운동장,308571,353461,57010,60797
2023-10,2호선,0219,삼성(무역센터),1372968,1396256,120267,111573
2023-10,2호선,0220,선릉,1264299,1112394,224287,197317
2023-10,2호선,0221,역삼,1151287,1322632,145830,149266
2023-10,2호선,0222,강남,2015080,1972389,158673,138379
2023-10,2호선,0223,교대(법원.검찰청),684425,827244,147637,175762
2023-10,2호선,0224,서초,537099,501799,91921,89393
2023-10,2호선,0225,방배,420307,435752,81173,81102
2023-10,2호선,0226,사당,962693,1089954,218934,212233
2023-10,2호선,0227,낙성대(강감찬),699484,679644,115431,117789
2023-10,2호선,0228,서울대입구(관악구청),1164803,1146158,187084,177847
2023-10,2호선,0229,봉천,537747,492712,155843,154275
2023-10,2호선,0230,신림,1383283,1322130,208677,205802
2023-10,2호선,0231,신대방,619731,595720,138059,138528
2023-10,2호선,0232,구로디지털단지,1414512,1395075,198299,197432
2023-10,2호선,0233,대림(구로구청),588822,600859,136627,141167
2023-10,2호선,0234,신도림,1229801,1225079,230274,217515
2023-10,2호선,0235,문래,523046,542351,87479,87119
2023-10,2호선,0236,영등포구청,492685,512788,102192,101626
2023-10,2호선,0237,당산,468632,545295,63466,69245
2023-10,2호선,0238,합정,901235,988385,73996,75278
2023-10,2호선,0239,홍대입구,2021040,2210524,103476,101120
2023-10,2호선,0240,신촌,1015517,1043077,125713,123350
2023-10,2호선,0241,이대,444107,490081,50420,53964
2023-10,2호선,0242,아현,253170,231888,67472,65628
2023-10,2호선,0243,충정로(경기대입구),234811,250639,49647,49945
2023-10,2호선,0244,용답,69541,69942,18749,18292
2023-10,2호선,0245,신답,36566,40450,10247,11017
2023-10,2호선,0246,신설동,77859,72959,33779,35586
2023-10,2호선,0247,도림천,26526,27771,8721,9978
2023-10,2호선,0248,양천구청,146199,153752,54053,54901
2023-10,2호선,0249,신정네거리,220975,227778,79488,80298
2023-10,2호선,0250,용두(동대문구청),46288,44979,24402,25565
2023-10,3호선,0309,지축,169628,167883,37743,36173
2023-10,3호선,0310,구파발,510800,502926,137907,133225
2023-10,3호선,0311,연신내,764865,718913,275881,265478
2023-10,3호선,0312,불광,348864,376698,149858,165725
2023-10,3호선,0313,녹번,373315,330910,84602,82792
2023-10,3호선,0314,홍제,394656,370268,153448,150698
2023-10,3호선,0315,무악재,94104,92764,34502,37066
2023-10,3호선,0316,독립문,158453,170572,77633,79017
2023-10,3호선,0317,경복궁(정부서울청사),744311,781954,119185,124494
2023-10,3호선,0318,안국,733910,760025,115264,118538
2023-10,3호선,0319,종로3가,246881,302134,66825,76048
2023-10,3호선,0320,을지로3가,276002,282312,48919,46607
2023-10,3호선,0321,충무로,49,0,4,0
2023-10,3호선,0322,동대입구,290491,331566,47487,52353
2023-10,3호선,0323,약수,293692,286557,88311,83042
2023-10,3호선,0324,금호,181161,163691,58138,56917
2023-10,3호선,0325,옥수,204146,208162,64590,64166
2023-10,3호선,0326,압구정,759650,832239,143776,144404
2023-10,3호선,0327,신사,738810,775972,71773,70044
2023-10,3호선,0328,잠원,116859,111454,33022,31419
